message_id,date,sender_id,text,preprocessed_text,tokens,image_path,document_path
1531,2025-05-14 07:02:00+00:00,6605446995,Hp ENVY x360 R7-7730 2.0ghz*16cpus (identical i7 13th generation) 16gb ram +512gb ssd +windows hello+touch plus flip screen +terrific condition +made in 2024 year,hp envy x360 r77730 20ghz16cpus identical i7 13th generation 16gb ram +512gb ssd +windows hello+touch plus flip screen +terrific condition +made in 2024 year,"['hp', 'envy', 'x360', 'r77730', '20ghz16cpus', 'identical', 'i7', '13th', 'generation', '16gb', 'ram', '+512gb', 'ssd', '+windows', 'hello+touch', 'plus', 'flip', 'screen', '+terrific', 'condition', '+made', 'in', '2024', 'year']",,
1392,2023-11-03 06:24:29+00:00,5286915955,"Contact .0913601273
              .0923462088
inbox.    .amanyaye",contact <phone> <phone> inbox amanyaye,"['contact', '<', 'phone', '>', '<', 'phone', '>', 'inbox', 'amanyaye']",data/images\1392.jpg,
1388,2023-10-22 17:58:42+00:00,5286915955,"Contact .0913601273
              .0923462088
inbox.    .amanyaye",contact <phone> <phone> inbox amanyaye,"['contact', '<', 'phone', '>', '<', 'phone', '>', 'inbox', 'amanyaye']",data/images\1388.jpg,
1387,2023-10-22 17:58:29+00:00,5286915955,"Contact .0913601273
              .0923462088
inbox.    .amanyaye",contact <phone> <phone> inbox amanyaye,"['contact', '<', 'phone', '>', '<', 'phone', '>', 'inbox', 'amanyaye']",data/images\1387.jpg,
1386,2023-10-22 16:25:55+00:00,668924251,Look! Is that your mom?😱 https://tinyurl.com/EscortAddisAbeba,look is that your mom😱 <url>,"['look', 'is', 'that', 'your', 'mom😱', '<', 'url', '>']",,
1385,2023-10-22 14:15:17+00:00,1789104995,Galii subscribe kodhi Guty tube,galii subscribe kodhi guty tube,"['galii', 'subscribe', 'kodhi', 'guty', 'tube']",,
1384,2023-10-22 14:15:17+00:00,1789104995,https://youtube.com/@guteaoromoo?si=bYmW9y8SlhQ3tpNZ,<url>,"['<', 'url', '>']",,
1383,2023-10-22 13:54:47+00:00,1789104995,https://youtu.be/Hk06lBj0SF4?si=ScQCqRrwHG79VIpt,<url>,"['<', 'url', '>']",,
1382,2023-10-22 13:43:29+00:00,5286915955,"Contact .0913601273
              .0923462088
inbox.    .amanyaye",contact <phone> <phone> inbox amanyaye,"['contact', '<', 'phone', '>', '<', 'phone', '>', 'inbox', 'amanyaye']",data/images\1382.jpg,
1381,2023-10-22 13:41:42+00:00,5286915955,"Contact .0913601273
              .0923462088
inbox.    .amanyaye",contact <phone> <phone> inbox amanyaye,"['contact', '<', 'phone', '>', '<', 'phone', '>', 'inbox', 'amanyaye']",data/images\1381.jpg,
1380,2023-10-22 13:41:26+00:00,5286915955,"Contact .0913601273
              .0923462088
inbox.    .amanyaye",contact <phone> <phone> inbox amanyaye,"['contact', '<', 'phone', '>', '<', 'phone', '>', 'inbox', 'amanyaye']",data/images\1380.jpg,
1379,2023-10-22 13:40:55+00:00,5286915955,"Contact .0913601273
              .0923462088
inbox.    .amanyaye",contact <phone> <phone> inbox amanyaye,"['contact', '<', 'phone', '>', '<', 'phone', '>', 'inbox', 'amanyaye']",data/images\1379.jpg,
1378,2023-10-22 13:40:40+00:00,5286915955,"Contact .0913601273
              .0923462088
inbox.    .amanyaye",contact <phone> <phone> inbox amanyaye,"['contact', '<', 'phone', '>', '<', 'phone', '>', 'inbox', 'amanyaye']",data/images\1378.jpg,
1377,2023-10-22 13:39:46+00:00,5286915955,"Contact .0913601273
              .0923462088
Inbox .amanyaye",contact <phone> <phone> inbox amanyaye,"['contact', '<', 'phone', '>', '<', 'phone', '>', 'inbox', 'amanyaye']",data/images\1377.jpg,
1375,2023-10-21 10:45:33+00:00,1234650330,https://t.me/+UCUMkwSCnW44NGQ0,<url>,"['<', 'url', '>']",,
1348,2023-06-11 11:23:02+00:00,470676751,"redmi note 12 pro 8/256gb 
Color : black & blue 
DM 📥 ASAP",redmi note 12 pro 8256gb color black blue dm 📥 asap,"['redmi', 'note', '12', 'pro', '8256gb', 'color', 'black', 'blue', 'dm', '📥', 'asap']",data/images\1348.jpg,
